property_name,address
Apache West MHP,"1035 W Main St | 50, 52 and 54 E Ingram | 743 E Pepper"
Alma Gardens MHP,530 S Alma School Rd
Alma Meadows MHP,535 S Alma School Rd
Arbor on Broadway Apts,660 E Broadway Rd
Arizona Springs,45 N Lyn Rae
Aspen Ridge,820 E Brown Rd
Aspenwood,245 S 56th St
Aspire Mesa,1248 S Vineyard
Aventerra Apts,1960 W Keating
Avenue 8 Apts,1050 W 8th Ave
Avia266 Apts,2354 W University
Avilla Lehi,3425 E Thomas Rd
Be Mesa Apts,510 S Extension Rd
Beacon at 601,601 S Alma School Rd
Brentwood West,3104 E Broadway Rd
Broadway Point 1,1859 E Broadway Rd
Broadway Point 2,1809 E Broadway Rd
Broadway Vistas Apts,2107 W Broadway Rd
Candela Park,57 N Alma School Rd
Casa Mesa Estates,1251 S Mesa Dr
Cimmaron,151 E 1st St
Citrus Gardens MHP,4065 E University Dr
Citrus Grove MHP,1007 W Main St
Citrus Grove MHP,1021 W Main St
Colores del Sol,510 E McKellips Rd
Courtyards,1111 S San Jose
Date Villa Apts,1645 N Date
Del Coronado,843 S Longmore
Deserama Adult Community,2343 E Main St
Desert Leaf Apts,44 S Horne
Desert Palm Apts,210 E Brown Rd
Discovery at Sunrise Condos,921 W University Dr
Dorado Canyon,3300 E Broadway Rd
Emerald Apts,1030 S Dobson Rd
Encore on First,25 W 1st Ave
Escobedo at Verde Vista,"350, 418, and 450 N Hibbert"
Escobedo at Verde Vista,430 and 510 N Pasadena
Exchange on the 8th,604 W 8th Ave
Fellowship Square,35 W Brown Rd
Fiesta Village,960 W Southern Ave
Fiesta Village MHP,235 W Southern Ave
Garden Place,1360 W Isabella Ave
Genoa Lakes,450 S Creston/3320 E University Dr
Gentry's Walk,1313 S Val Vista Dr
Indigo Lofts,715-737 E Brown Rd
Island Palms,5315 E Broadway Rd
La Mesita,2254 W Main St
Legacy on Main,950 W Main St
Level 550,550 E McKellips Rd
Los Racimos Condos,540 N May
Madera Point,445 S Dobson Rd
Melody on Main,145 E Main St
Mesa Art Space Lofts,155 S Hibbert
Mesa Ridge,650 S Country Club
Mesa Shadows,205 S Higley Rd
Mesa Spirit Adult Community,3020 E Main St
Mesa Summit Apts,505 S Roosevelt/450 S Valencia
North Country Club Apts,1505 N Country Club Dr
Orchards Senior Living,108 N Greenfield Rd
Park Village Apts,2260 N Hobson
Parkhaven Estates,306 S Recker Rd
Polo Club,3319 E University Dr
Primrose,2551 E McKellips Rd
Residence on First,63 W 1st Ave
Rise at Dobson Ranch,1325 W Guadalupe
Rise Broadway,945 W Broadway Rd
Rise on Country Club,1903 N Country Club Dr
Riverview Park Apts,745 N Dobson Rd
Saguaro Sun Adult Community,305 S Val Vista
San Fernando,4150 E Main
San Miguel Apts,8915 E Guadalupe Rd
San Piedra,4510 E Banner Gateway
San Villante,4760 E Baseline Rd
Sanctuary on Center Townhomes,1950 N Center St
Second Avenue Commons,140 S 2nd Ave
Sorrento Apts,901 S Dobson Rd
Southern Ave Villas,855 W Southern Ave
Springhaven,4220 E Main St
Station 21,2121 W Main St
Stone Canyon Apts,5210 E Hampton Ave
Sun Life Vacation Resort,5055 E University Dr
Sunrise Vista MHC,300 S Val Vista Dr
Sunspire MHP,2600 E Allred
Sycamore Square Apts,1120 S Sycamore
The Groves,2030 & 2102 E Broadway Rd
The Joshua,1711 S Extension
The Julia Apts,546 S Country Club Dr
The Link Apts,1433 & 1457 W University
The Manhattan,1107 E University Dr
The Oaks,524 W 9th St
The Oaks,526 W Rio Salado
The Quails,"1207, 1215 & 1223 E Jarvis Ave"
The Quin,1318 S Vineyard
The Sands,2305 E Main St
The Spring,45 N Lyn Rae
The Tides at Country Club,901 S Country Club Dr
Traditions,4450 E Southern Ave
Trail Riders Ranch,2460 E Main St
Trails at Harris,1653 S Harris
Val Vista Villages,233 N Val Vista Dr
Verona Park,1666 S Extension
Villages at Lindsay Park,1441 S Lindsay Rd
Villas on Hampton,5120 E Hampton Ave
Villetta,1840 W Emelita Ave
Waterford,1055 W Baseline Rd
Woodstream,1230 N Mesa Dr
X-B Ranch MHP,5200 E Main St
,"227, 233, 261, 253 and 312 S Doran"
,20 N Parcel
,"416, 510 and 515 N Williams"
,"542, 544 N Drew"
,"41, 48, 49, 55, 61, 111 and 119 E Ingram"
,1231 E 3rd Ave
,1622 and 1630 E Crown
,304 and 310 S Allen
,"335, 347 and 359 S Williams"
,1751 E Broadway
Alma Park Apts,718 S Alma School Rd
Aztec Springs,164 N 74th St
Circle Tree Condos,461 W Holmes
Clare Feldstadt I,710 W 8th Ave
Dobson Greens Condos,1920 W Lindner Ave
La Mesa Village Apts,655 S Mesa Dr
La Mesita,2245 W Ella
Lakeview at Superstition Springs Apts,1849 S Power Rd
San Montego Luxury Apts,6745 E Superstition Springs Blvd
Sandstone Apts,1727 W Emelita
Shorebird Apts,1362 S Vineyard
Silver Spur MHP,9310 E Main St
Stonegate,825 S Alma School Rd
Sun Valley Casitas,145 N 74th St
Sun Valley Ranch,7353 E University Dr
Superstition Canyon,1247 S 96th St
The District at Mountain Vista,1304 S 105th Pl
The Orchards,108 N Greenfield Rd
The Place @ El Prado,1050 S Longmore
Waterford at Superstition Springs Apts,7311 E Southern Ave
