property_name,address
Avari Apartments,11580 W. Corporate Dr.
 Avondale Mobile Home Park,221 W. Main St.
Country Hills Mobile Estates,11901 W. McDowell Rd.
Crystal Springs, 11885 W. McDowell Rd.
Hillcrest Villas,310 S. 3rd Ave.
Ironwood Homes at River Run,11951 W. Windsor Ave.
Lennox,10350 W. McDowell Rd.
Madison Heights, 1110 N. Dysart Rd.
Mountain View,333 E. Van Buren St.
Norton Circle,551 W. Norton St.
Pecan Tree Mobile Home Park, 1214 N. 119th Ave.
Rose Terrace, 525 E. Harrison Dr.
The Club at Coldwater Springs,105 N. Links Dr.
