property_name,address
Kachina,1400 N. Alma School Road
Summit Lake,3400 N. Alma School Road
Waterside at Ocotillo,4800 S. Alma School Road
San Hacienda,1600 N. Arizona Avenue
Sunshine Valley Mobile Home Park,1650 S. Arizona Avenue
The Plaza Taos,1900 S. Arizona Avenue
2150 Apartments,2150 S. Arizona Avenue
San Cierra,2400 N. Arizona Avenue
Camden,2777 S. Arizona Avenue
DC Heights,222 W. Boston Street
Avana,3800 W. Chandler Boulevard
Fairways at San Marcos,777 W. Chandler Boulevard
Summit at San Marcos,445 W. Chandler Boulevard
Morrison Chandler,3950 W. Chandler Boulevard
Chandler Gardens,300 E. Commonwealth Avenue
Encore Novo,333 E. Commonwealth Avenue
San Cervantes,400 N . Coronado Street
Riviera Park,125 N . Dobson Road
Dobson Towne Center,1817 N . Dobson Road
Lakeside,855 N . Dobson Road
Soleil,725 N . Dobson Road
Arista at Ocotillo,3200 S. Dobson Road
Cornerstone Ranch,3999 S. Dobson Road
Club Cancun,375 N . Federal Street
Marquis at Chandler,2222 W. Frye Road
Avant at Fashion Center,555 S. Galleria Way
The Hartford Apartments,580 W. Galveston Street
Zaterra,200 W. Germann Road
Montage,1616 W. Germann Road
Vive,1901 W. Germann Road
San Palacio,2255 W. Germann Road
Sky at Chandler Airpark,1441 E. Germann Road
San Valencia,1450 E. Germann Road
Montage at Pecos Ranch,1616 E. Germann Road
Gila Springs,444 N. Gila Springs Boulevard
Ho Ho Kam Villas,2900 W. Highland Street
The Met at Fashion Center,1N. Hearthstone Way
The Village at Brighton,955 N. Jackson Street
Country Brook,4909 W. Joshua Boulevard
Colonia Del Rey,120 N. McQueen Road
Chandler Village Apartments,598 N. McQueen Road
Noria,2177 S. McQueen Road
Arches at Hidden Creek,1586 W. Mallllio Way
Town Square,500 N. Metro Boulevard
San Palmas,1111N. Mission Park Boulevard
Alante,2222 N. McQueen Road
Biscayne Bay,2022 N. Nevada Street
Avana River Ranch,6152 W. Oakland Street
Chandler Ridge,99 W. Palomino Drive
Chandler Ridge,100 W. Palomino Drive
Chandler Ridge,102 W. Palomino Drive
Luxury Townhomes,1111W. Parklane Boulevard
Park Tower,1283 W. Parklane Boulevard
Alta Chandler,1333 W. Parklane Boulevard
Camden Pecos Ranch,1175 W. Pecos Road
Stone Oaks,2450 W. Pecos Road
Chandler Meadows,3175 N. Price Road
Mira Santi,800 W. Queen Creek Road
Ocotillo Bay,1889 W. Queen Creek Road
iMT Chandler,235 E. Ray Road
Arium,250 E. Ray Road
The Ventura,3600 W. Ray Road
Country Brook,601 N. Rita Lane
Cortland Crossing,900 N. Rural Road
Kon Tiki Mobile Home Park,555 W. Warner Road
The Laurel,800 W. Willis Road
