property_name,address
ASPEN LEAF APTS.,1515 S. YALE
ASPEN SHADOWS,4025 S. LAKE MARY
Bear Ridge,3300 S. Gila
BUTTERFIELD APTS.,4015 E. SOLIERE AVE
Caldwell banker northland,1805 W University Hgts Dr S
Canyon Springs,"900 N, Switzer Canyon Dr."
CANYON TRAIL APTS. (LIPS),1550 N. FORT VALLEY RD.
Cedar Crest Apts.,2251 N. IZABEL
CHURCH APTS. (LIPS),502 W. CHERRY
CLEAR CREEK APTS.,875 W. PINE KNOLL
CLEAR CREEK APTS.,997 E Pine Knoll/ 975 Pine Knoll
COLONY/ JoDon  MOBILE HOME COMMUNITY,5250 N. HIGHWAY 89
Commons at Sawmill,901 S. O'LEARY
COUNTRY CLUB MEADOWS,5303 E. CORTLAND BLVD.
COUNTRY CLUB TERRACE,5404 E. CORTLAND BLVD.
COUNTRY CLUB VISTA,5250 E. CORTLAND BLVD.
DOS PINOS,3108 N. MONTE VISTA
Elara Flagstaff,1033 E Sawmill Rd
Elden/ Levitan Properties Diane Borden,1600 S Yale/ 19 S San Francisco
Elevation Apartments,5000 N Mall Way 
FLAGSTAFF VILLAGE APTS. (LIPS),240 W. SAUNDERS
FOREST MEADOWS APTS.,1000 W. FOREST MEADOWS
Fort Valley apts,1718 N Fort Valley
Fremont station,555 West Forest Meadows
Front door realty/ prop management pros,"3241 Matterhorn, 2715 hemberg"
GLOBAL MANAGEMENT,2200 E. CEDAR STE. 6
Greenlaw garden ,2600 E 7th ave
High Country Estates,250 W. High Country Trail
HIGHLAND VILLAGE APTS.,2800 S. HIGHLAND MESA
HILLSIDE COURT APTS. (LIPS),530 S. BLACKBIRD ROOST
Housing Solutions of NAZ,1622 E Zoe Way 
Housing Solutions of NAZ,1629 N Center St
Housing Solutions of NAZ,1653 E Jacob Way
Housing Solutions of NAZ,1716 N Main St
Housing Solutions of NAZ,1717 N First St
Housing Solutions of NAZ,1725 N First St
Housing Solutions of NAZ,2014 N Izabel St
Housing Solutions of NAZ,2016 N Izabel St
Housing Solutions of NAZ,2107 E First Ave
Housing Solutions of NAZ,2113 N Second St
Housing Solutions of NAZ,2606 N East St
Housing Solutions of NAZ,2804 N Rose St
Housing Solutions of NAZ,619 E Zuni Dr
KINLANI APTS. (LIPS),8 W. ASPEN
LEVITAN INVESTMENTS (LIPS),19 S. SAN FRANCISCO
MILLPOND VILLAGE,1080 S. KAIBAB LANE
Mountain Trail Apartments,927 W. Forest Meadows
OAKWOOD VILLAGE APTS. 1,3770 S. YAQUI
OAKWOOD VILLAGE APTS. 2,3400 S. Kofa
PEAK VIEW APTS. (LIPS),218 W. OAK
PEAK VIEW NORTH APTS. (LIPS),219 W. CEDAR
PINE VIEW VILLAGE APTS.,700 S. BLACKBIRD ROOST
PINECLIFF VILLAGE APTS.,1105 E. PONDEROSA PKWY
PINEHURST APTS.,1001 N. FOURTH ST.
PONDEROSA PARK APTS.,1201 W. PONDEROSA PKWY
ReNew Apartment Communities,5205 E. CORTLAND BLVD
SAINT ANNE APTS. (LIPS),9 W. PHOENIX
SANDSTONE HIGHLANDS APTS.,300 W. HIGH COUNTRY TRAIL
Santa Fe apartments,2652 E Route 66 
SANTA FE WEST APTS. (LIPS),404 W. SANTA FE
SHARON MANOR APTS.,2303 N. IZABEL
STERLING POINTE APTS.,923 W. UNIVERSITY
Tablerock Apartments,3400 S. LAKE MARY
The Grove,520 S Seville
The Grove,525- 557 Buckingham Ln
The Grove,540 S Seville
The Grove,550 S Windsor( Office)
The Grove,570 S Windsor
The Grove,575 S Seville
The Grove,700-748 Sawmill
The Grove,700-749 Franklin
The Grove,700-749 Jackson
The Grove,700-749 Kensington Dr
The Grove,802 E Jackson
The Grove,803 E Kensington Ln
The Grove,937 E Kensington Ln
The Grove,940 E Jackson
The Grove,961 E Kensington Ln
The JACK,215 W. Phoenix Ave
THE LODGE AT LAKE MARY APTS.,3601 S. LAKE MARY
The Place at Forest Ridge,3720 S. YAQUI/ 3980 Yaqui
The Standard,824 W. Route 66
TIMBER TRAILS APTS.,200 W. HIGH COUNTRY TRAIL
TIMBERLINE Place The Summit ,4343 E. Soliere 4255 Soliere 
Trailside Apartments,600 W University Heights Dr N 
UNIVERSITY SQUARE APTS.,700 W. UNIVERSITY AVE
UNIVERSITY WEST APTS.,1830 S. MILTON
VERDE VISTA APTS. (LIPS),504 S. VERDE
Village at Lake Mary,60 E Anita Ave
WAVERTREE APTS.,25/ 51 S. MARICOPA ST.
West Glen Mobil Home Park,1450 W Kaibab 
WOODCREST APTS.,800 W. FOREST MEADOWS
WOODLAND VILLAGE APTS.,813 W. UNIVERSITY AVE
Overlook at Buffalo Park,1651 N Gemini Road
Star Point,1576 N Fort Valley Rd
