property_name,address
77 ON THE PARK,1350 N 77TH ST
AVION ON LEGACY,7340 E LEGACY BL
AZ RETIREMENT HOME,7310-7312 E PALM LN
CABRILLO,17620 E SAHUARO
CAMDEN FOOTHILLS,18245 N PIMA
CAMDEN LEGACY/SAN MARCOS,15757 90 PL / 9595 TBIRD
CAMDEN OLD TOWN,7350 E STETSON
CASA SANTA FE,11105 N 115TH ST
CHAZAL,1075 N MILLER
CLAYTON ON 2ND,7502 E 2ND
DENIM,7791 E OSBORN
DESERT PARKS VISTA,9393 E PALO BREA
DISTRICT APTS,15446 N GH LOOP
ECLIPSE,1401 N GRANITE REEF
FIRESIDE,7740 E GLENROSA AVE
GRIFFIN,3234 N SCOTTSDALE
HAYDEN PARK,3015 N HAYDEN
INSPIRATION AT FLW,15600 FLW
IRVINE PARK,8521 E MCDOWELL
KOTA,15850 N THOMPSON PEAK PKWY
KOTA,16356 N THOMPSON PEAK PKWY
LA PRIVADA,10255 E VIA LINDA
MAA OLD TOWN,2929 N 70TH ST
OASIS AT SCOTTSDALE,4140 N 78TH ST
OASIS AT SCOTTSDALE,4140 N 78TH ST
POLANCO,6895 E CAMELBACK RD
ROADRUNNER,6601 E MCDOWELL
SAN ANTIGUA,8311 E VIA DE VENTURA
SAN ARTES,17900 N HAYDEN
SAN Bellaro,17800 N 78 Street
SAN CARLOS,9494 E REDFIELD
SAN MARIN,4215 N DRINKWATER BL
SAN TROPEZ,2700 N HAYDEN
SCOTTSDALE 59,5900 E THOMAS RD
SCOTTSDALE HACIENDAS,985 N GRANITE REEF
SCOTTSDALE HORIZON,9259 E RAINTREE
SCOTTSDALE HORIZON,9259 E RAINTREE
SCOTTSDALE HORIZON,9259 E RAINTREE
SCOTTSDALE SERRENTO,8145 E CAMELBACK RD
SHADOW RIDGE,6505 E OSBORN RD
SITE SCOTTSDALE,8750 E MCDOWELL
SKYSONG (MAA),1301 N SCOTTSDALE RD
SONORAN VISTA,9340 E REDFIELD
STANDARD,6811 E MAIN ST
TEN WINE LOFTS,7126 E OSBORN
THE BEVERLY ONE,7395 E LEGACY BL
THE VIEW AT CASCADES,18525 N SCOTTSDALE RD
TOMSCOT,3015 N SCOTTSDALE
VILLA MONTANA,11350 E SAHUARO DR
VINTAGE,7440 E THOMAS
VINTAGE AT SCOTTSDALE,14545 N FRANK LLOYD WRIGHT
VISCONTI/GLEN,7979 E CAMELBACK
VITRI APTS,15125 N SCOTTSDALE
