"block_geoid","evict_count"
40134222231,85
40135229013,40
40133187001,60
40131070012,141
40131042261,52
40131113005,60
40130610273,4
40138144002,59
40130927121,86
40131167321,41
40130928011,15
40131042191,25
40131045023,9
40130719063,57
40131105022,104
40131125211,214
40134222232,54
40131109012,109
40130613001,42
40131060021,70
40131035011,9
40130506123,5
40131032104,7
40131072021,45
40131085011,37
40131063004,5
40131042073,84
40131154002,21
40134221072,152
40130931062,6
40131033052,15
40131044012,317
40133184004,11
40130610481,66
40131097032,70
40133200073,261
40131092002,63
40130931013,14
40131090012,123
40130614021,6
40131037013,28
40131036153,36
40131076022,84
40130923112,256
40133188003,80
40131033032,6
40131033041,30
40130924022,231
40134201161,9
40130927111,19
40130930022,45
40131166123,6
40131166152,50
40136189002,5
40131125202,12
40131073001,30
40130718013,3
40130932003,85
40131159001,23
40133188004,128
40130610352,14
40130822063,16
40136195001,8
40133194022,15
40130610331,9
40130405351,3
40131109021,68
40134225064,5
40131042173,9
40131112011,173
40131043021,233
40130612002,79
40134221023,61
40131090011,93
40130928014,26
40131170002,65
40131166141,65
40138112001,51
40130830002,123
40134220011,22
40134205062,87
40134221062,254
40134210012,170
40136120001,41
40130610321,12
40136141003,41
40131097073,245
40130610343,165
40130927122,65
40134207052,2
40131166162,21
40133184005,45
40134222094,58
40136159002,48
40136191002,94
40130717011,19
40131123024,188
40133191031,75
40130928022,5
40136185002,134
40134221061,156
40130923061,47
40131064002,97
40131059003,60
40131167121,92
40136147002,47
40136152011,51
40136198002,68
40131036082,88
40133199081,67
40131044013,83
40130930013,127
40133201002,59
40133191042,104
40131125072,109
40131041002,144
40134221041,70
40130931053,203
40131048022,37
40134213022,28
40131076012,101
40134211025,14
40136123012,98
40134217011,98
40138155012,35
40131108012,110
40130928021,172
40131167362,81
40131032103,4
40131091021,42
40130610461,95
40134211022,63
40130927152,32
40131036152,60
40131125122,259
40131104001,26
40131091023,27
40136106002,37
40131166151,39
40130923051,6
40133191011,66
40130820211,22
40131035025,2
40130405383,20
40136161003,14
40131032203,20
40130927201,216
40130820192,6
40132172031,1
40131166111,8
40130610271,8
40135231033,48
40131125142,20
40136106003,5
40136169002,24
40134225091,8
40131058002,9
40131137013,123
40134226221,9
40130822114,25
40131033051,24
40130923121,10
40137233091,4
40130927051,81
40130822103,22
40130820182,36
40130820022,252
40136168001,5
40131053002,32
40138157001,6
40136103012,22
40130822053,22
40131166063,28
40136124012,7
40130822051,28
40130405362,30
40139413003,27
40131115021,52
40131042183,275
40138152021,28
40131042152,173
40130927153,6
40133188001,110
40134222095,114
40130609042,12
40134223081,67
40130930023,5
40131160002,22
40133194012,20
40136188003,41
40131071012,22
40131071022,23
40134221063,12
40133196004,40
40131089011,142
40131033043,15
40131055012,49
40131067032,11
40131125221,3
40130719064,103
40131071023,101
40130924013,22
40134218011,8
40130925002,32
40131112013,100
40131170003,153
40131070022,18
40131036094,159
40136164003,105
40134221032,200
40131036151,19
40136146011,90
40130820242,238
40134211013,32
40131166192,32
40130506143,10
40130927131,6
40131042061,8
40130719111,88
40130927091,78
40138148023,16
40134225032,40
40130822132,14
40131106004,26
40133200012,128
40131060032,44
40133200072,219
40136168002,2
40131125231,362
40134226434,3
40130614023,89
40131041004,15
40136188001,41
40130610523,30
40138151002,2
40130820181,18
40131093001,9
40130820261,76
40130506122,20
40131125192,13
40131125191,5
40130719152,7
40133192012,74
40131079003,66
40131167032,36
40131089021,119
40131086023,78
40131123011,264
40134226174,3
40131122021,17
40136165001,56
