"geoid","year","crime_type","crime_count","number_of_months_missing","number_of_reporting_agencies"
"0499001",2023,"murder",1,0,1
"0499001",2022,"murder",0,0,1
"0499001",2021,"murder",0,0,1
"0499001",2020,"murder",0,0,1
"0499001",2019,"murder",0,0,1
"0499001",2018,"murder",0,0,1
"0499001",2017,"murder",1,0,1
"0499001",2016,"murder",0,2,1
"0499001",2015,"murder",0,0,1
"0499001",2014,"murder",0,0,1
"0499001",2013,"murder",0,0,1
"0499001",2012,"murder",0,0,1
"0499001",2011,"murder",1,0,1
"0499001",2010,"murder",2,1,1
"0499001",2009,"murder",2,0,1
"0420960",2023,"murder",0,0,1
"0420960",2022,"murder",0,0,1
"0420960",2021,"murder",0,0,1
"0420960",2020,"murder",0,0,1
"0420960",2019,"murder",0,0,1
"0420960",2018,"murder",0,0,1
"0420960",2017,"murder",0,0,1
"0420960",2016,"murder",0,0,1
"0420960",2015,"murder",0,0,1
"0420960",2014,"murder",0,0,1
"0420960",2013,"murder",0,0,1
"0420960",2012,"murder",1,0,1
"0420960",2011,"murder",0,0,1
"0420960",2010,"murder",0,0,1
"0420960",2009,"murder",0,0,1
"0462350",2023,"murder",0,0,1
"0462350",2022,"murder",0,0,1
"0462350",2021,"murder",0,0,1
"0462350",2020,"murder",0,0,1
"0462350",2019,"murder",1,0,1
"0462350",2018,"murder",0,0,1
"0462350",2017,"murder",0,0,1
"0462350",2016,"murder",0,1,1
"0462350",2015,"murder",0,0,1
"0462350",2014,"murder",0,0,1
"0462350",2013,"murder",0,0,1
"0462350",2012,"murder",0,12,1
"0462350",2011,"murder",0,12,1
"0462350",2010,"murder",0,11,1
"0462350",2009,"murder",0,12,1
"0468990",2023,"murder",0,0,1
"0468990",2022,"murder",0,0,1
"0468990",2021,"murder",0,0,1
"0468990",2020,"murder",0,0,1
"0468990",2019,"murder",0,0,1
"0468990",2018,"murder",1,0,1
"0468990",2017,"murder",0,0,1
"0468990",2016,"murder",0,0,1
"0468990",2015,"murder",0,0,1
"0468990",2014,"murder",0,0,1
"0468990",2013,"murder",0,0,1
"0468990",2012,"murder",0,0,1
"0468990",2011,"murder",0,0,1
"0468990",2010,"murder",0,0,1
"0468990",2009,"murder",0,0,1
"0483720",2023,"murder",4,0,1
"0483720",2022,"murder",2,0,1
"0483720",2021,"murder",5,0,1
"0483720",2020,"murder",23,0,1
"0483720",2019,"murder",20,0,1
"0483720",2018,"murder",23,0,1
"0483720",2017,"murder",26,0,1
"0483720",2016,"murder",24,0,1
"0483720",2015,"murder",17,0,1
"0483720",2014,"murder",3,0,1
"0483720",2013,"murder",8,0,1
"0483720",2012,"murder",3,0,1
"0483720",2011,"murder",15,0,1
"0483720",2010,"murder",17,0,1
"0483720",2009,"murder",15,0,1
"0499003",2023,"murder",0,0,1
"0499003",2022,"murder",5,0,1
"0499003",2021,"murder",7,0,1
"0499003",2020,"murder",6,0,1
"0499003",2019,"murder",0,0,1
"0499003",2018,"murder",0,0,1
"0499003",2017,"murder",0,0,1
"0499003",2016,"murder",2,0,1
"0499003",2015,"murder",1,0,1
"0499003",2014,"murder",2,0,1
"0499003",2013,"murder",2,0,1
"0499003",2012,"murder",2,0,1
"0499003",2011,"murder",3,0,1
"0499003",2010,"murder",7,0,1
"0499003",2009,"murder",3,0,1
"0405770",2023,"murder",0,0,1
"0405770",2022,"murder",1,0,1
"0405770",2021,"murder",0,0,1
"0405770",2020,"murder",0,0,1
"0405770",2019,"murder",0,0,1
"0405770",2018,"murder",0,0,1
"0405770",2017,"murder",0,0,1
"0405770",2016,"murder",0,12,1
"0405770",2015,"murder",0,12,1
"0405770",2014,"murder",0,12,1
"0405770",2013,"murder",0,1,1
"0405770",2012,"murder",0,0,1
"0405770",2011,"murder",0,12,1
"0405770",2010,"murder",0,12,1
"0405770",2009,"murder",0,6,1
"0406260",2023,"murder",0,0,1
"0406260",2022,"murder",1,0,1
"0406260",2021,"murder",5,0,1
"0406260",2020,"murder",0,0,1
"0406260",2019,"murder",0,0,1
"0406260",2018,"murder",0,0,1
"0406260",2017,"murder",0,0,1
"0406260",2016,"murder",0,12,1
"0406260",2015,"murder",0,12,1
"0406260",2014,"murder",0,9,1
"0406260",2013,"murder",1,0,1
"0406260",2012,"murder",1,0,1
"0406260",2011,"murder",0,0,1
"0406260",2010,"murder",0,1,1
"0406260",2009,"murder",0,0,1
"0420050",2023,"murder",0,0,1
